,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
344,NoBroker,3.1k,2.2k,"Real Estate - Bangalore , Bengaluru +46 other locations",9.5k,253,158,N/A,"Work Life Balance, Work Satisfaction, Job Security"
345,Himalaya Wellness,4.1k,2.2k,"Bangalore , Bengaluru +217 other locations",5.9k,123,13,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
346,suzuki motor gujarat,4.2k,2.2k,Automobile - Ahmedabad +110 other locations,7.3k,191,26,"Job Security, Salary & Benefits, Company Culture",N/A
347,Ola Electric Mobility,3.3k,2.2k,"Automobile - Bangalore , Bengaluru +338 other locations",8k,249,--,N/A,"Job Security, Company Culture, Work Life Balance"
348,Foundever,3.5k,2.2k,"BPO - Hyderabad , Secunderabad +22 other locations",7.6k,159,89,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
349,Care Health Insurance,3.6k,2.2k,"Internet - Gurgaon , Gurugram +223 other locations",7.9k,132,69,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
350,V-Mart,4.1k,2.2k,"Retail - Gurgaon , Gurugram +263 other locations",4.1k,159,19,"Skill Development / Learning, Job Security, Company Culture",N/A
351,DBS Bank,3.8k,2.1k,"Banking - Hyderabad , Secunderabad +160 other locations",12.1k,177,108,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction"
352,Taj Hotels Resorts and Palaces,4.2k,2.2k,Mumbai +102 other locations,4.5k,132,--,"Job Security, Company Culture, Skill Development / Learning",N/A
353,Mahindra Rural Housing Finance,4.0k,2.1k,NBFC - Mumbai +443 other locations,4.7k,93,18,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
354,Star Health & Allied Insurance,3.6k,2.1k,Insurance - Chennai +300 other locations,8.6k,125,27,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
355,BT Group,3.9k,2.1k,"Telecom - Gurgaon , Gurugram +22 other locations",10.4k,195,3,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
356,Parle Agro,4.0k,2.1k,Beverage - Mumbai +225 other locations,6.4k,116,2,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal
357,JCB,3.9k,2.1k,Pune +103 other locations,9k,147,--,Work Life Balance,Promotions / Appraisal
358,Datamatics Global Services,3.4k,2.1k,IT Services & Consulting - Mumbai +31 other locations,11.3k,171,80,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
359,Lifestyle,4.3k,2.1k,"Retail - Bangalore , Bengaluru +127 other locations",6.8k,70,8,"Company Culture, Job Security, Skill Development / Learning",N/A
360,Intellect Design Arena,3.9k,2.1k,Software Product - Chennai +37 other locations,12.1k,168,22,Job Security,N/A
361,Adani Power,3.9k,2.1k,Power - Mundra +111 other locations,8.1k,260,--,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
362,Biocon Limited,3.9k,2.1k,"Biotechnology - Bangalore , Bengaluru +63 other locations",11.3k,162,28,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
363,Huawei Technologies,4.0k,2.1k,"Telecom - Bangalore , Bengaluru +104 other locations",8.8k,116,2,"Salary & Benefits, Skill Development / Learning",Job Security
364,Info Edge,3.9k,2.1k,Internet - Noida +65 other locations,10.9k,343,459,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
365,Akums Drugs & Pharmaceuticals Limited,4.4k,2.1k,Pharma - Haridwar +34 other locations,5.9k,304,18,"Job Security, Skill Development / Learning, Company Culture",N/A
366,Gallagher,3.7k,2.1k,"Insurance - Bangalore , Bengaluru +26 other locations",12.4k,236,42,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
367,Planet Spark,3.8k,2.1k,"EdTech - Gurgaon , Gurugram +61 other locations",2.8k,486,76,"Skill Development / Learning, Work Life Balance",N/A
368,Cybage,3.8k,2.1k,IT Services & Consulting - Pune +13 other locations,16.7k,200,18,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
369,Aditya Birla Group,4.1k,2.1k,Building Material - Mumbai +243 other locations,9.5k,208,4,"Job Security, Company Culture, Work Life Balance",N/A
370,Cholamandalam MS General Insurance,3.8k,2.1k,Insurance - Chennai +360 other locations,5.4k,100,1,N/A,Promotions / Appraisal
371,Emcure Pharmaceuticals,3.7k,2.1k,Pune +105 other locations,7.9k,113,42,N/A,"Job Security, Promotions / Appraisal, Company Culture"
372,ICICI Securities,3.9k,2.1k,Financial Services - Mumbai +139 other locations,9.1k,174,3,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
373,Lava International,4.0k,2.1k,Consumer Electronics & Appliances - Noida +218 other locations,4.3k,74,2,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
374,IntouchCX,2.8k,2.1k,"BPO - Hyderabad , Secunderabad +20 other locations",8.6k,209,104,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
375,3i Infotech,3.4k,2.1k,IT Services & Consulting - Mumbai +115 other locations,10.6k,149,31,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
376,Delhi Public School,3.8k,2.1k,New Delhi +257 other locations,5.3k,126,199,Skill Development / Learning,Promotions / Appraisal
377,Syngene International,3.9k,2k,"Clinical Research - Bangalore , Bengaluru +20 other locations",11.7k,170,32,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
378,Xoriant,4.1k,2.1k,IT Services & Consulting - Pune +23 other locations,11.1k,200,36,"Work Life Balance, Company Culture, Work Satisfaction",N/A
379,Mahindra Holidays & Resorts,3.5k,2.1k,Hospitality - Mumbai +106 other locations,5.8k,112,55,N/A,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
380,Cloudnine Hospital,4.4k,2.1k,"Healthcare - Bangalore , Bengaluru +34 other locations",2.6k,392,--,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
381,Bharat Financial Inclusion,3.9k,2.1k,"NBFC - Hyderabad , Secunderabad +411 other locations",4.1k,84,20,"Salary & Benefits, Job Security",Work Satisfaction
382,Canara HSBC Life Insurance,3.6k,2.1k,"Insurance - Gurgaon , Gurugram +284 other locations",6.3k,109,231,N/A,"Work Satisfaction, Job Security"
383,Sagility,3.9k,2.1k,"BPO - Bangalore , Bengaluru +23 other locations",8.6k,205,43,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
384,Unacademy,3.0k,2k,"EdTech - Bangalore , Bengaluru +67 other locations",9.8k,215,28,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
385,Simplex Infrastructures,3.4k,2k,Engineering & Construction - Kolkata +134 other locations,5k,72,--,N/A,"Salary & Benefits, Promotions / Appraisal, Company Culture"
386,Eureka Forbes,3.7k,2k,Consumer Electronics & Appliances - Mumbai +174 other locations,5.3k,75,5,N/A,"Promotions / Appraisal, Job Security, Company Culture"
387,Niva Bupa Health Insurance Company,3.6k,2k,Insurance - New Delhi +234 other locations,7.3k,134,34,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
388,Ola Cabs,3.3k,2k,"Internet - Bangalore , Bengaluru +100 other locations",9.8k,144,13,N/A,"Job Security, Promotions / Appraisal, Company Culture"
389,Nokia Networks,4.2k,2k,"Hardware & Networking - Bangalore , Bengaluru +84 other locations",10.9k,118,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
390,Hero FinCorp,4.0k,2k,NBFC - New Delhi +365 other locations,5.1k,97,17,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
391,Myntra,3.9k,2k,"Internet - Bangalore , Bengaluru +102 other locations",9.7k,227,86,"Company Culture, Skill Development / Learning",Promotions / Appraisal
392,Cadila Pharmaceuticals,3.4k,2k,Pharma - Ahmedabad +123 other locations,7.1k,130,30,N/A,"Job Security, Promotions / Appraisal, Company Culture"
393,Radisson Hotels,4.0k,2k,New Delhi +117 other locations,5.2k,85,202,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
394,Sobha,3.8k,2k,"Real Estate - Bangalore , Bengaluru +37 other locations",7.9k,146,60,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
395,State Street Syntel,3.7k,2k,Financial Services - Pune +22 other locations,8.4k,77,--,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
396,Laurus Labs,4.2k,2k,Pharma - Visakhapatnam +27 other locations,6.8k,123,2,"Job Security, Company Culture, Work Life Balance",N/A
397,Tata Advanced Systems,3.7k,2k,"Defence & Aerospace - Bangalore , Bengaluru +44 other locations",11.1k,151,10,Job Security,"Promotions / Appraisal, Salary & Benefits"
398,Photon Interactive,4.1k,2k,IT Services & Consulting - Chennai +13 other locations,6.8k,116,756,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
399,Bureau Veritas,3.9k,2k,Other - Mumbai +127 other locations,7.5k,122,29,Work Life Balance,Promotions / Appraisal
400,Straive,3.4k,2k,Analytics & KPO - Chennai +28 other locations,9.1k,198,51,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
401,Whirlpool,3.9k,2k,Consumer Electronics & Appliances - Pune +153 other locations,7.8k,103,9,"Work Life Balance, Company Culture",Promotions / Appraisal
402,GlaxoSmithKline Pharmaceuticals,4.1k,2k,"Pharma - Bangalore , Bengaluru +200 other locations",5.1k,111,19,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
403,Exl India,3.5k,2k,Logistics - New Delhi +37 other locations,12.1k,111,--,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
404,Cisco,4.2k,1.9k,"Hardware & Networking - Bangalore , Bengaluru +43 other locations",17.3k,384,179,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
405,Extramarks Education,3.5k,1.9k,EdTech - Noida +105 other locations,7.6k,168,22,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
406,Indian Railways,4.2k,1.9k,Railways - New Delhi +228 other locations,3.2k,95,--,"Job Security, Company Culture, Work Life Balance",N/A
407,Kia Motors,3.9k,1.9k,Automobile - Anantapur +168 other locations,7.4k,143,27,Job Security,Promotions / Appraisal
408,BHEL,4.1k,1.9k,"Electrical Equipment - Bangalore , Bengaluru +117 other locations",4.9k,119,--,"Job Security, Work Life Balance, Company Culture",N/A
409,RMSI,3.7k,1.9k,"IT Services & Consulting - Hyderabad , Secunderabad +20 other locations",8.1k,166,14,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
410,Ninjacart,3.9k,1.9k,"Internet - Bangalore , Bengaluru +105 other locations",5.5k,98,13,"Skill Development / Learning, Salary & Benefits",Job Security
411,Sopra Steria,3.8k,1.9k,IT Services & Consulting - Noida +18 other locations,13.5k,137,265,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
412,Renault Nissan Technology & Business Centre India,3.8k,1.9k,Automobile - Chennai +16 other locations,13.7k,138,63,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
413,Ambuja Cements,3.9k,1.9k,Building Material - Mumbai +229 other locations,5.7k,128,--,N/A,"Promotions / Appraisal, Job Security"
414,GVK Emergency Management and Research Institute,3.6k,1.9k,Lucknow +185 other locations,4.4k,98,24,N/A,"Promotions / Appraisal, Job Security, Company Culture"
415,Life Insurance Corporation of India,4.4k,1.9k,Insurance - New Delhi +444 other locations,4.3k,79,--,"Company Culture, Work Life Balance, Salary & Benefits",N/A
416,Bharti AXA Life Insurance,3.8k,1.9k,Insurance - Mumbai +233 other locations,5.2k,128,26,N/A,N/A
417,Endurance Technologies,3.9k,1.9k,Auto Components - Aurangabad +44 other locations,7.3k,115,10,Skill Development / Learning,Promotions / Appraisal
418,Pfizer,3.9k,1.9k,Pharma - Visakhapatnam +117 other locations,5.6k,77,60,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security"
419,Shahi Exports,4.0k,1.9k,"Fashion & Textile - Bangalore , Bengaluru +64 other locations",6.5k,109,37,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
420,Aavas Financiers,3.9k,1.9k,NBFC - Jaipur +265 other locations,5.6k,98,81,Skill Development / Learning,N/A
421,Force Motors,3.6k,1.9k,Automobile - Pune +95 other locations,7.6k,127,3,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
422,Lodha Group,4.0k,1.9k,Real Estate - Mumbai +23 other locations,7.8k,139,74,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
423,Adani Wilmar,4.1k,1.9k,FMCG - Ahmedabad +182 other locations,6.2k,114,95,"Job Security, Company Culture, Work Life Balance",N/A
424,Aditya Birla Capital,3.9k,1.9k,Financial Services - Mumbai +246 other locations,8.2k,167,1,"Work Life Balance, Job Security",Promotions / Appraisal
425,Physicswallah,3.7k,1.9k,EdTech - Noida +101 other locations,6k,223,27,N/A,"Promotions / Appraisal, Job Security"
426,Adani Group,3.9k,1.9k,Power - Ahmedabad +165 other locations,9.2k,227,163,"Job Security, Salary & Benefits",Promotions / Appraisal
427,upGrad,3.6k,1.9k,"EdTech - Bangalore , Bengaluru +47 other locations",8.3k,202,50,N/A,"Work Satisfaction, Job Security, Promotions / Appraisal"
428,Bank of Baroda,3.5k,1.9k,Banking - Mumbai +277 other locations,6.2k,99,--,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
429,Renault-Nissan,4.1k,1.9k,Chennai +80 other locations,7.2k,112,--,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
430,Panasonic Life Solutions India,4.0k,1.9k,Consumer Electronics & Appliances - Haridwar +146 other locations,6.1k,78,15,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
431,ValueLabs,3.7k,1.9k,"IT Services & Consulting - Hyderabad , Secunderabad +17 other locations",14.8k,196,80,N/A,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
432,Apollo Pharmacy,3.8k,1.9k,"Hyderabad , Secunderabad +244 other locations",5.9k,141,129,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
433,Raymond Lifestyle Limited,4.1k,1.9k,Fashion & Textile - Mumbai +133 other locations,6.5k,97,--,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
434,Coromandel International,4.1k,1.9k,Agro Chemicals - Visakhapatnam +164 other locations,6.8k,107,17,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
435,TCE,3.8k,1.9k,Engineering & Construction - Mumbai +123 other locations,8.1k,264,280,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
436,Reliance Trends,4.1k,1.9k,"Retail - Bangalore , Bengaluru +359 other locations",4.1k,109,--,"Job Security, Skill Development / Learning, Company Culture",N/A
437,Allstate,3.8k,1.8k,Insurance - Pune +13 other locations,11.2k,140,21,"Work Life Balance, Company Culture",Promotions / Appraisal
438,Microsoft Corporation,3.9k,1.8k,"Software Product - Bangalore , Bengaluru +43 other locations",23.1k,572,--,"Work Life Balance, Company Culture, Skill Development / Learning","Job Security, Promotions / Appraisal"
439,Sify Technologies,3.8k,1.8k,IT Services & Consulting - Chennai +120 other locations,9.2k,128,21,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
440,SBI Securities,3.8k,1.9k,Financial Services - Mumbai +279 other locations,6.1k,163,93,N/A,Promotions / Appraisal
441,Cargill,4.0k,1.8k,"Food Processing - Bangalore , Bengaluru +106 other locations",7.6k,100,243,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
442,HSBC Electronic Data Processing,4.1k,1.8k,"Banking - Bangalore , Bengaluru +17 other locations",9k,71,--,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
443,CAMS,3.6k,1.8k,Financial Services - Chennai +98 other locations,7.9k,125,18,Job Security,"Promotions / Appraisal, Salary & Benefits"
444,Meesho,3.7k,1.8k,"Internet - Bangalore , Bengaluru +115 other locations",7.7k,360,159,Salary & Benefits,"Job Security, Promotions / Appraisal"
445,SAP,4.2k,1.8k,"Software Product - Bangalore , Bengaluru +50 other locations",15.3k,291,238,"Work Life Balance, Company Culture, Job Security",N/A
446,Bharat Petroleum,4.1k,1.8k,Oil & Gas - Mumbai +240 other locations,6.4k,155,1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
447,Brakes India,3.9k,1.8k,Auto Components - Chennai +85 other locations,6.6k,77,8,"Job Security, Skill Development / Learning",Promotions / Appraisal
448,Delphi TVS,3.9k,1.8k,Auto Components - Chennai +49 other locations,5.3k,91,3,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
449,Poonawalla Fincorp,3.7k,1.8k,NBFC - Pune +253 other locations,5k,66,26,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
450,Star Union Dai-ichi Life Insurance,3.8k,1.8k,Insurance - Mumbai +281 other locations,4.8k,100,65,N/A,N/A
451,Henry Harvin Education,3.8k,1.9k,Noida +28 other locations,782,45,23,N/A,N/A
452,SBI General Insurance,3.7k,1.8k,Insurance - Mumbai +256 other locations,5.9k,112,19,N/A,"Promotions / Appraisal, Work Satisfaction"
453,Future Generali India Life Insurance,3.6k,1.8k,Insurance - Mumbai +183 other locations,6.7k,104,294,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
454,TaskUs,3.2k,1.8k,BPO - Indore +32 other locations,7.4k,186,191,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
455,Power Mech Projects,3.8k,1.8k,"Engineering & Construction - Hyderabad , Secunderabad +139 other locations",6.3k,102,9,Job Security,"Promotions / Appraisal, Salary & Benefits"
456,Spark Minda,3.9k,1.8k,Auto Components - Pune +65 other locations,6.4k,134,7,N/A,Promotions / Appraisal
457,Team Computers,3.7k,1.9k,IT Services & Consulting - New Delhi +94 other locations,8k,178,140,N/A,"Promotions / Appraisal, Salary & Benefits"
458,BNP Paribas,3.8k,1.8k,Financial Services - Mumbai +25 other locations,15.4k,190,75,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
459,Tata Motors Finance,4.1k,1.8k,NBFC - Mumbai +243 other locations,4.4k,68,2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
460,Senco Gold,4.4k,1.8k,Jewellery - Kolkata +73 other locations,1.3k,567,6,"Job Security, Skill Development / Learning, Company Culture",N/A
461,ITC Hotels,4.1k,1.8k,"Bangalore , Bengaluru +83 other locations",5.1k,89,--,"Job Security, Skill Development / Learning, Company Culture",N/A
462,CitiusTech,3.4k,1.8k,IT Services & Consulting - Mumbai +16 other locations,13.1k,284,18,N/A,"Promotions / Appraisal, Job Security, Salary & Benefits"
463,Novartis,4.1k,1.8k,"Pharma - Hyderabad , Secunderabad +73 other locations",8.8k,151,222,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
464,Saint-Gobain,4.0k,1.7k,Engineering & Construction - Mumbai +93 other locations,10.1k,180,24,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
465,Foxconn,3.9k,1.8k,Electronics Manufacturing - Chennai +51 other locations,8.3k,174,50,Job Security,Promotions / Appraisal
466,YASH Technologies,3.8k,1.8k,"IT Services & Consulting - Hyderabad , Secunderabad +28 other locations",15.5k,155,430,"Company Culture, Work Life Balance",Promotions / Appraisal
467,JK Tyres,3.6k,1.7k,Auto Components - Chennai +131 other locations,6.5k,101,5,N/A,"Promotions / Appraisal, Company Culture, Work Life Balance"
468,Kotak Securities,3.6k,1.8k,Financial Services - Mumbai +131 other locations,8.9k,124,23,N/A,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
469,Morgan Stanley,3.6k,1.7k,Financial Services - Mumbai +17 other locations,22.2k,304,1,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
470,Google,4.4k,1.7k,"Software Product - Bangalore , Bengaluru +83 other locations",21.6k,886,70,"Company Culture, Work Life Balance, Salary & Benefits",N/A
471,Mercedes-Benz Research and Development India,3.8k,1.7k,"IT Services & Consulting - Bangalore , Bengaluru +46 other locations",15.7k,191,6,"Work Life Balance, Job Security","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
472,Daikin,4.1k,1.8k,Consumer Electronics & Appliances - Neemrana +99 other locations,6.8k,164,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
473,Future Retail,4.3k,1.7k,Retail - Mumbai +197 other locations,4.6k,55,--,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
474,AECOM,4.2k,1.7k,"Engineering & Construction - Gurgaon , Gurugram +116 other locations",6.2k,125,286,"Company Culture, Work Life Balance, Work Satisfaction",N/A
475,FirstCry,3.6k,1.7k,Internet - Pune +185 other locations,8k,184,24,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
476,Reliance General Insurance,3.7k,1.7k,Insurance - Mumbai +184 other locations,6.7k,87,--,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
477,L&T Energy Hydrocarbon,3.9k,1.7k,Engineering & Construction - Vadodara +81 other locations,7.9k,102,--,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance, Company Culture"
478,IDBI Bank,3.5k,1.7k,Banking - Mumbai +304 other locations,5.6k,72,--,N/A,"Promotions / Appraisal, Work Satisfaction, Company Culture"
479,Crisil,3.6k,1.7k,Analytics & KPO - Mumbai +68 other locations,11.7k,198,534,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
480,Parle Products,3.9k,1.7k,FMCG - Mumbai +223 other locations,3.6k,99,9,Salary & Benefits,Promotions / Appraisal
481,Honeywell Automation,3.8k,1.7k,Industrial Automation - Pune +75 other locations,11.2k,115,2,Job Security,"Promotions / Appraisal, Salary & Benefits"
482,Lucas-TVS,3.9k,1.7k,Auto Components - Chennai +73 other locations,5.6k,81,--,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
483,KENT RO Systems,3.9k,1.7k,Consumer Electronics & Appliances - Noida +145 other locations,4.2k,87,9,"Work Life Balance, Work Satisfaction",N/A
484,Dhani Loans and Services,3.8k,1.7k,"NBFC - Gurgaon , Gurugram +184 other locations",4.9k,70,7,N/A,"Job Security, Promotions / Appraisal"
485,Gabriel India,4.1k,1.7k,Auto Components - Pune +44 other locations,5.4k,111,3,"Job Security, Skill Development / Learning, Company Culture",N/A
486,Nuvoco Vistas,4.1k,1.7k,Building Material - Kolkata +170 other locations,6.1k,101,16,"Job Security, Skill Development / Learning, Salary & Benefits",N/A
487,Biological E,4.2k,1.7k,"Pharma - Hyderabad , Secunderabad +61 other locations",6.6k,122,37,"Job Security, Company Culture, Work Life Balance",N/A
488,NCR Corporation,3.7k,1.7k,"IT Services & Consulting - Hyderabad , Secunderabad +87 other locations",8.6k,136,201,N/A,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
489,SGS,3.9k,1.7k,Clinical Research - Mumbai +130 other locations,5.9k,99,107,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
490,Philips,3.8k,1.7k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +87 other locations",10k,165,77,"Work Life Balance, Company Culture",Promotions / Appraisal
491,Uflex,3.8k,1.7k,Packaging - Noida +44 other locations,6.4k,116,75,Job Security,"Promotions / Appraisal, Company Culture"
492,Microland,3.5k,1.7k,"IT Services & Consulting - Bangalore , Bengaluru +43 other locations",10.5k,137,443,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
493,Paisabazaar.com,3.4k,1.7k,"Internet - Gurgaon , Gurugram +28 other locations",6.6k,151,22,N/A,"Job Security, Promotions / Appraisal, Work Life Balance"
494,Narayana Health,4.0k,1.7k,"Healthcare - Bangalore , Bengaluru +62 other locations",5.6k,74,96,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
495,Infinite Computer Solutions,3.3k,1.7k,"IT Services & Consulting - Bangalore , Bengaluru +34 other locations",12.9k,155,182,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
496,R.R. Donnelley,3.8k,1.7k,Marketing & Advertising - Chennai +23 other locations,9.4k,113,16,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
497,American Broadcasting Company,4.0k,1.7k,"Bangalore , Bengaluru +106 other locations",24.8k,560,17,"Company Culture, Work Life Balance, Work Satisfaction",N/A
498,Angel One,3.9k,1.7k,FinTech - Mumbai +127 other locations,6.9k,145,52,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
499,Dr Lal PathLabs,4.2k,1.7k,Healthcare - New Delhi +176 other locations,4.2k,143,59,"Company Culture, Job Security, Skill Development / Learning",N/A
500,Hindustan Aeronautics,4.3k,1.6k,"Defence & Aerospace - Bangalore , Bengaluru +60 other locations",4.1k,78,--,"Work Life Balance, Work Satisfaction, Job Security",N/A
501,Sterling & Wilson,4.1k,1.6k,Engineering & Construction - Mumbai +111 other locations,7.2k,69,10,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
502,Thomson Reuters,4.1k,1.7k,"Software Product - Bangalore , Bengaluru +24 other locations",10k,124,250,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
503,Safexpress,4.0k,1.6k,Logistics - New Delhi +148 other locations,5.4k,112,--,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
504,TVS Sundram Fasteners,3.7k,1.6k,Auto Components - Chennai +55 other locations,6.5k,77,1,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
505,Iris Software,4.0k,1.6k,IT Services & Consulting - Noida +24 other locations,6.9k,170,41,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
506,Jio Platforms,3.4k,1.6k,IT Services & Consulting - Mumbai +89 other locations,11k,211,--,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
507,Torrent Power,3.7k,1.6k,Power - Ahmedabad +53 other locations,7k,141,38,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
508,AXA Business Services,3.9k,1.6k,Insurance - Pune +10 other locations,7.1k,90,7,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
509,EPAM Systems,3.7k,1.7k,"IT Services & Consulting - Hyderabad , Secunderabad +31 other locations",16.1k,567,38,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security"
510,NTPC,4.2k,1.6k,Power - New Delhi +114 other locations,3.9k,164,--,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
511,G R Infraprojects,4.1k,1.6k,"Engineering & Construction - Gurgaon , Gurugram +148 other locations",5.1k,144,24,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
512,Motherson Automotive Technologies and Engineering,3.8k,1.6k,Auto Components - Chennai +62 other locations,6.7k,123,25,"Job Security, Skill Development / Learning",Promotions / Appraisal
513,Honda Cars,4.3k,1.6k,Automobile - Bhiwadi +107 other locations,5.9k,93,--,"Company Culture, Work Life Balance, Job Security",N/A
514,Kalyan Jewellers,4.6k,1.6k,Jewellery - Thrissur +139 other locations,1.3k,63,17,"Company Culture, Work Life Balance, Work Satisfaction",N/A
515,Globiva,3.1k,1.6k,"BPO - Gurgaon , Gurugram +25 other locations",4.7k,114,34,N/A,"Promotions / Appraisal, Work Satisfaction, Job Security"
516,Newgen Software Technologies,3.8k,1.6k,IT Services & Consulting - Noida +28 other locations,10.6k,189,10,Job Security,N/A
517,SS&C TECHNOLOGIES,3.3k,1.6k,IT Services & Consulting - Mumbai +29 other locations,12.8k,182,18,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
518,GAO Tek,4.4k,1.6k,Electrical Equipment - New York +36 other locations,226,248,--,"Work Life Balance, Skill Development / Learning, Company Culture",Salary & Benefits
